UserID,Email,Password
1,john.doe@example.com,hashedpassword123
2,jane.smith@example.com,hashedpassword456
3,alice.jones@example.com,hashedpassword789
4,bob.brown@example.com,hashedpassword101
5,charlie.black@example.com,hashedpassword102
6,daisy.white@example.com,hashedpassword103
7,edward.green@example.com,hashedpassword104
8,flora.pink@example.com,hashedpassword105
9,george.gray@example.com,hashedpassword106
10,harry.red@example.com,hashedpassword107
11,irene.purple@example.com,hashedpassword108
12,jake.blue@example.com,hashedpassword109

